하마, 56, 194
자아, 92, 161
마아, 51, 177
사다, 61, 197
카다, 67, 187
타마, 44, 172
차파, 98, 145
다가, 90, 158
차마, 97, 161
다아, 81, 151
타마, 40, 166
가마, 81, 150
차하, 83, 180
라아, 60, 196
차하, 91, 147
타하, 42, 159
타마, 79, 182
파다, 77, 196
파차, 95, 158
아카, 45, 197
바하, 59, 150
아카, 51, 148
가라, 98, 190
자차, 74, 166
마라, 41, 188
나가, 42, 189
나파, 65, 148
타다, 74, 192
라타, 85, 190
카차, 81, 169
사파, 84, 183
타라, 72, 195
다나, 74, 194
아자, 65, 191
다차, 78, 190
카타, 65, 163
바사, 61, 145
카타, 49, 189
마다, 76, 153
자라, 52, 199
타마, 59, 141
아카, 91, 144
자라, 51, 187
자자, 84, 141
카하, 67, 145
차사, 67, 160
타사, 92, 179
마나, 63, 140
가카, 66, 153
마사, 88, 176
다자, 42, 186
다아, 95, 196
자가, 63, 192
타다, 75, 190
라나, 50, 160
차아, 67, 195
파사, 77, 186
카자, 84, 196
자마, 75, 154
하가, 65, 152
파마, 60, 147
하하, 41, 182
하라, 87, 148
차파, 53, 148
바하, 41, 174
나차, 61, 190
카다, 77, 167
하아, 77, 145
나사, 90, 154
라아, 80, 170
파차, 58, 155
하마, 49, 151
하카, 66, 149
사자, 42, 171
다다, 45, 166
아타, 74, 173
나파, 73, 143
카카, 73, 187
가라, 94, 183
타가, 52, 145
나파, 76, 192
사타, 43, 186
나가, 70, 170
자사, 50, 180
차파, 47, 144
차나, 57, 141
아라, 81, 174
다사, 74, 189
아아, 66, 183
라차, 98, 197
차파, 71, 145
자하, 55, 198
아하, 75, 171
타나, 51, 169
아차, 64, 147
가사, 52, 163
파자, 61, 148
마카, 94, 154
파타, 73, 140
아하, 43, 168
차아, 65, 162
차파, 74, 145
사아, 70, 174
다마, 89, 152
마카, 98, 191
차타, 41, 188
가자, 93, 178
타사, 57, 159
카가, 93, 195
사다, 85, 148
하다, 95, 188
자자, 86, 164
다나, 53, 142
차카, 43, 170
카타, 63, 162
마차, 85, 143
파아, 51, 172
파파, 61, 197
파타, 59, 178
차마, 82, 183
카자, 82, 189
가카, 82, 153
타타, 49, 155
나파, 67, 161
사차, 53, 147
아가, 49, 142
바파, 62, 149
파아, 94, 181
다마, 60, 160
하라, 76, 160
아파, 90, 147
자라, 88, 180
파가, 70, 193
라나, 62, 156
나카, 66, 164
아차, 52, 146
카자, 70, 184
마나, 56, 173
나자, 47, 170
마사, 58, 145
파아, 55, 187
카마, 90, 151
타파, 58, 193
차타, 59, 173
자사, 76, 179
사파, 68, 193
자하, 70, 181
아사, 98, 174
하하, 56, 190
카타, 58, 165
라카, 73, 179
자바, 57, 176
마바, 72, 152
자차, 83, 189
바하, 98, 145
다가, 79, 162
차차, 58, 199
타하, 90, 148
타하, 96, 192
카사, 53, 174
하타, 86, 145
가하, 59, 193
바나, 89, 192
바나, 59, 188
하나, 49, 140
바바, 54, 172
다타, 99, 152
차바, 51, 188
타나, 97, 193
나사, 80, 192
아아, 70, 143
타파, 68, 154
아하, 51, 156
가다, 51, 158
라자, 46, 193
아카, 95, 182
나가, 75, 195
라하, 55, 141
카타, 49, 180
마바, 46, 176
차라, 85, 168
사파, 45, 164
가다, 96, 158
카나, 71, 190
사다, 46, 192
아차, 79, 195
타아, 84, 146
자차, 69, 189
차가, 74, 192
라타, 63, 189
다다, 81, 197
가카, 89, 159
나가, 95, 170
타마, 57, 180
바가, 80, 182
파차, 55, 172
자파, 95, 158
자자, 44, 179
자사, 95, 194
다사, 79, 171
타타, 91, 173
마사, 88, 186
바마, 43, 187
사자, 55, 166
하타, 44, 146
하바, 43, 156
파사, 98, 158
나하, 52, 160
마마, 89, 182
바파, 96, 169
사아, 56, 182
마마, 57, 186
가다, 87, 149
하다, 48, 171
사라, 96, 151
자다, 56, 190
차바, 55, 172
마마, 93, 196
가마, 40, 142
마하, 92, 148
차카, 95, 146
자타, 54, 158
라자, 42, 177
다나, 69, 158
하타, 94, 165
라차, 42, 196
하마, 90, 194
하다, 83, 186
파나, 98, 154
카하, 69, 146
차바, 57, 176
라하, 79, 195
아타, 78, 190
자자, 50, 150
나아, 95, 179
파라, 78, 168
하파, 87, 172
차파, 59, 146
아카, 67, 142
다차, 96, 199
아차, 96, 173
자다, 42, 155
다마, 84, 141
차자, 61, 148
아마, 84, 146
파마, 60, 173
다사, 49, 186
라자, 82, 193
타카, 44, 178
마파, 93, 196
라라, 44, 167
파바, 40, 163
바하, 72, 172
사다, 66, 146
하파, 48, 197
가다, 78, 176
라파, 87, 189
사차, 81, 184
자하, 99, 192
마나, 58, 147
하다, 86, 171
나가, 44, 148
가라, 46, 184
마하, 53, 176
카자, 69, 165
아바, 77, 180
라파, 45, 183
아다, 81, 193
하마, 92, 164
자자, 82, 154
사카, 57, 160
바라, 64, 188
타아, 93, 170
파사, 54, 189
라나, 94, 183
하나, 70, 149
카바, 45, 152
카가, 63, 192
사파, 80, 145
하마, 48, 151
사자, 71, 155
다아, 49, 196
파자, 78, 187
나타, 68, 161
바라, 65, 198
사나, 42, 193
자하, 69, 166
가아, 86, 190
차타, 83, 180
아사, 95, 186
바카, 56, 174
다나, 68, 156
아하, 63, 154
사카, 77, 199
타마, 57, 172
마마, 74, 143
자가, 89, 159
자나, 53, 144
카라, 99, 181
차사, 50, 180
카파, 75, 177
파바, 59, 151
사카, 49, 186
타라, 80, 176
가하, 44, 186
가타, 53, 192
바라, 69, 149
차카, 41, 141
가다, 92, 151
사다, 60, 195
나사, 79, 163
자하, 60, 143
나차, 63, 198
카타, 82, 194
마사, 64, 145
바바, 55, 199
파바, 60, 176
라마, 42, 152
파자, 40, 165
바다, 44, 140
나카, 87, 155
파사, 67, 197
사자, 72, 160
사파, 46, 159
라마, 67, 161
사자, 99, 175
가다, 67, 198
자카, 48, 178
나하, 46, 170
자라, 90, 161
타라, 63, 183
파나, 73, 187
자카, 73, 162
아아, 52, 161
차마, 54, 170
나카, 54, 145
차다, 74, 165
자가, 77, 165
아다, 91, 157
나자, 40, 199
나마, 85, 199
파차, 67, 185
다아, 44, 193
자아, 44, 175
다자, 55, 194
아자, 66, 177
차가, 44, 196
카카, 41, 160
나사, 91, 172
타하, 40, 198
파타, 45, 184
바하, 89, 140
바카, 92, 196
자바, 84, 152
카자, 45, 189
바아, 76, 191
바하, 69, 162
다차, 71, 198
라자, 61, 195
카가, 46, 145
카바, 44, 182
나카, 74, 143
타라, 42, 196
가타, 58, 159
마카, 87, 185
하라, 97, 146
타차, 87, 151
하라, 56, 176
차타, 52, 179
마자, 43, 191
아바, 69, 153
바사, 86, 196
가하, 81, 178
파라, 62, 152
다자, 69, 153
자라, 83, 158
파하, 86, 166
하사, 86, 146
자카, 83, 142
타차, 81, 146
파나, 64, 162
타파, 49, 161
타하, 68, 179
사타, 54, 187
라사, 69, 183
라마, 68, 163
하나, 59, 185
사바, 51, 193
마차, 52, 153
사가, 84, 193
차하, 93, 150
자다, 82, 159
다마, 92, 154
차라, 81, 173
아다, 52, 158
바나, 99, 174
바가, 58, 188
다나, 48, 173
마사, 44, 173
하라, 40, 159
사바, 72, 198
사다, 50, 155
사사, 58, 197
마가, 63, 145
나사, 47, 162
다파, 68, 157
아아, 73, 177
가하, 65, 141
하마, 53, 156
라가, 56, 196
타하, 53, 188
바라, 95, 167
마자, 92, 183
사아, 63, 152
나차, 69, 169
가자, 57, 188
차차, 46, 154
아파, 93, 181
타파, 42, 199
차자, 44, 186
자타, 50, 159
사타, 97, 169
타라, 96, 141
카타, 68, 173
차파, 48, 145
자파, 79, 173
타차, 64, 182
바타, 42, 148
라자, 43, 174
라파, 90, 142
사차, 92, 195
파라, 97, 178
바하, 46, 191
차자, 57, 196
하다, 60, 164
다파, 87, 163
차다, 41, 151
가자, 78, 140
하아, 67, 166
타라, 57, 192
사다, 42, 170
사나, 83, 185
자다, 86, 193
마다, 53, 166
하나, 66, 175
나다, 67, 171
아카, 81, 196
자자, 45, 143
마파, 84, 195
파마, 70, 171
가나, 63, 185
자나, 89, 188
사아, 67, 172
가카, 69, 146
마마, 40, 159
카파, 91, 191
라파, 49, 174
바사, 95, 172
타차, 76, 192
나파, 78, 144
자다, 47, 198
카파, 78, 189
라라, 63, 166
나나, 61, 146
파나, 81, 193
나타, 45, 141
차차, 73, 187
하바, 53, 173
하타, 61, 140
가나, 44, 150
라마, 94, 184
라파, 61, 151
다마, 84, 168
타라, 85, 166
바자, 56, 199
사아, 91, 187
마가, 72, 181
라바, 70, 140
가나, 87, 145
사마, 41, 195
카타, 58, 187
라파, 60, 175
다자, 97, 162
차차, 65, 184
나나, 84, 188
타나, 65, 178
라사, 46, 199
가아, 58, 165
차파, 46, 179
다다, 71, 175
카아, 41, 192
바파, 75, 148
아사, 74, 185
차아, 85, 186
사사, 55, 149
하사, 57, 184
나마, 65, 152
나타, 73, 194
사라, 90, 160
다하, 69, 150
타카, 41, 151
가바, 46, 140
차카, 71, 193
마차, 98, 159
카아, 58, 190
사라, 68, 142
타타, 47, 190
파바, 78, 192
사차, 49, 196
사가, 64, 189
가아, 79, 185
카가, 91, 187
카라, 89, 194
자파, 74, 155
라파, 98, 147
하라, 81, 187
타바, 57, 149
타사, 76, 148
차나, 66, 185
사카, 97, 142
가타, 49, 194
차다, 57, 146
나차, 50, 181
하타, 99, 147
라바, 93, 191
사다, 72, 175
아나, 83, 172
하타, 42, 148
마차, 79, 191
하차, 43, 157
사타, 68, 181
차다, 77, 189
하하, 47, 195
사파, 66, 191
다다, 85, 153
나나, 55, 156
파타, 81, 172
하카, 96, 155
가아, 87, 142
자차, 84, 165
다사, 55, 184
라사, 50, 195
카타, 40, 143
자카, 77, 167
타차, 94, 173
가아, 76, 161
라차, 52, 180
차자, 44, 184
파카, 86, 151
다마, 53, 150
파다, 47, 193
파라, 86, 176
다가, 56, 147
바다, 84, 175
아타, 53, 161
사마, 52, 150
차아, 49, 161
사사, 63, 186
가바, 57, 148
타아, 70, 195
사타, 85, 183
파가, 50, 147
차마, 92, 190
라가, 69, 163
마마, 96, 163
아타, 61, 194
다나, 53, 171
카마, 44, 160
카바, 41, 193
라다, 43, 157
타나, 51, 147
차마, 97, 178
카차, 81, 173
바파, 43, 194
하타, 92, 166
나타, 90, 191
파라, 63, 173
가타, 93, 153
타타, 60, 175
바다, 50, 192
다마, 44, 173
차사, 40, 147
아마, 77, 161
아나, 97, 177
차파, 72, 160
나바, 51, 171
파마, 43, 152
자카, 76, 184
마사, 51, 179
다차, 84, 142
라아, 94, 178
라바, 44, 195
나나, 95, 146
카자, 97, 186
마사, 86, 189
카타, 90, 150
바차, 92, 153
자자, 44, 142
타자, 60, 195
마하, 49, 156
마자, 66, 178
타카, 54, 193
